topic_id,Topic 1 Label,Topic 1 URL,Topic 2 Label,Topic 2 URL,Number,File,Distribution,token1,token2,token3,token4,token5,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19
EU_en_Pres3-100_70,software industry,http://eurovoc.europa.eu/1696,,,70,EU_en_Pres3-100,0.01175,european,system,feasibility,software,support,informatics,ada,projects,applications,development,users,committee,computer,management,,,,,,
EU_en_Pres3-100_71,,,,,71,EU_en_Pres3-100,0.01677,producer,decision,industry,article,measures,organizations,member,restructuring,members,State,steel,government,marketing,granted,,,,,,
EU_en_Pres3-100_72,chemical products,http://eurovoc.europa.eu/2563,,,72,EU_en_Pres3-100,0.00433,public,air,workers,members,exposure,concentration,exposed,year,table,footnotes,form,oxides,hydroxides,compounds,,,,,,
EU_en_Pres3-100_73,ecology,http://eurovoc.europa.eu/2563,agriculture,http://eurovoc.europa.eu/2563,73,EU_en_Pres3-100,0.0218,terms,development,support,income,real,national,agriculture,rates,member,green,Ecu,trade,labour,price,,,,,,
EU_en_Pres3-100_74,pollution,http://eurovoc.europa.eu/2563,,,74,EU_en_Pres3-100,0.0188,pollution,substances,mercury,quality,values,objectives,eec,protection,treatment,natural,water,proposal,soil,discharges,,,,,,
EU_en_Pres3-100_75,letters,http://eurovoc.europa.eu/2563,,,75,EU_en_Pres3-100,0.03549,exchange,letters,protocol,government,form,letter,communities,council,will,honour,confirm,parties,article,concerning,,,,,,
EU_en_Pres3-100_76,,,,,76,EU_en_Pres3-100,0.01121,medical,additional,purposes,ministers,processed,point,animal,survey,conditions,draft,water,wood,human,member,,,,,,
EU_en_Pres3-100_77,industry,http://eurovoc.europa.eu/2563,,,77,EU_en_Pres3-100,0.01965,steel,company,treaty,article,jobs,industry,area,assent,council,application,bank,conversion,iron,dm,,,,,,
EU_en_Pres3-100_78,,,,,78,EU_en_Pres3-100,0.01553,regional,article,specific,measures,commission,measure,aid,fund,operations,economic,zones,programmes,regulation,AIDS,,,,,,
EU_en_Pres3-100_79,alcohol,http://eurovoc.europa.eu/2563,,,79,EU_en_Pres3-100,0.01468,price,article,regulation,producer,products,wines,eec,distiller,distilled,quantity,alcohol,table,aid,member,,,,,,
EU_en_Pres3-100_80,border control,http://eurovoc.europa.eu/2563,,,80,EU_en_Pres3-100,0.01785,tariffs,goods,carried,international,frontier,number,member,rules,infringements,operations,concerned,inspection,inspections,traffic,,,,,,
EU_en_Pres3-100_81,,,,,81,EU_en_Pres3-100,0.00647,solar,performance,design,task,COST,storage,participant,data,seasonal,work,country,large,scale,lead,,,,,,
EU_en_Pres3-100_82,,,,,82,EU_en_Pres3-100,0.0096,community,council,quality,european,year,prices,leaf,marketing,Ecu,fixed,milk,common,economic,intervention,,,,,,
