topic_id,tokens,term,french,length,profondeur,category,link,bt1,mt,domain
Topic 6,transit,transit,transit,1,2,descriptor,http://eurovoc.europa.eu/3614,destination of transport,MT 4811 organisation of transport,48 TRANSPORT
Topic 9,uranium,uranium,uranium,1,3,descriptor,http://eurovoc.europa.eu/4617,radioactive materials,MT 6621 electrical and nuclear industries,66 ENERGY
Topic 13,vessel,vessel,bateau,1,2,descriptor,http://eurovoc.europa.eu/4827,maritime transport,MT 4821 maritime and inland waterway transport,48 TRANSPORT
Topic 9,waste,waste,déchet,1,1,descriptor,http://eurovoc.europa.eu/343,waste,MT 5216 deterioration of the environment,52 ENVIRONMENT
Topic 9,water,water,eau,1,3,descriptor,http://eurovoc.europa.eu/597,aquatic environment,MT 5211 natural environment,52 ENVIRONMENT
Topic 13,west,West (Romania),Roumanie de l'Ouest,2,2,used_for,http://eurovoc.europa.eu/8494,regions of Romania,MT 7211 regions of EU Member States,72 GEOGRAPHY
Topic 10,wheat,wheat,blé,1,2,descriptor,http://eurovoc.europa.eu/4994,cereals,MT 6006 plant product,60 AGRI-FOODSTUFFS
Topic 10,wine,wine,vin,1,3,descriptor,http://eurovoc.europa.eu/4713,alcoholic beverage,MT 6021 beverages and sugar,60 AGRI-FOODSTUFFS
Topic 4,work,work,travail,1,1,descriptor,http://eurovoc.europa.eu/4543,work,MT 4416 organisation of work and working conditions,44 EMPLOYMENT AND WORKING CONDITIONS
Topic 1,member company,company member,associé,2,2,descriptor,http://eurovoc.europa.eu/3121,company structure,MT 4006 business organisation,40 BUSINESS AND COMPETITION
Topic 1,group undertakings,group of undertakings,groupe de sociétés,3,2,used_for,http://eurovoc.europa.eu/1193,economic concentration,MT 4006 business organisation,40 BUSINESS AND COMPETITION
Topic 1,board management,board of management,conseil de direction,3,2,descriptor,http://eurovoc.europa.eu/447,company structure,MT 4006 business organisation,40 BUSINESS AND COMPETITION
Topic 1,employed person,employed person,salarié,2,2,used_for,http://eurovoc.europa.eu/3854,occupational status,MT 4411 labour market,44 EMPLOYMENT AND WORKING CONDITIONS
Topic 1,contract insurance,insurance contract,contrat d'assurance,2,2,descriptor,http://eurovoc.europa.eu/165,insurance,MT 2431 insurance,24 FINANCE
Topic 1,contract law,contract law,contrat,2,2,used_for,http://eurovoc.europa.eu/164,civil law,MT 1211 civil law,12 LAW
Topic 1,contract law,law of contract,contrat,3,2,used_for,http://eurovoc.europa.eu/164,civil law,MT 1211 civil law,12 LAW
Topic 1,contract employment,employment contract,contrat de travail,2,2,used_for,http://eurovoc.europa.eu/166,personnel administration,MT 4421 personnel management and staff remuneration,44 EMPLOYMENT AND WORKING CONDITIONS
Topic 1,period credit,credit period,délai de paiement,2,3,used_for,http://eurovoc.europa.eu/6210,payment,MT 4026 accounting,40 BUSINESS AND COMPETITION
Topic 1,general court,General Court (EU),Tribunal (UE),3,3,descriptor,http://eurovoc.europa.eu/5328,Court of Justice of the European Union,MT 1006 EU institutions and European civil service,10 EUROPEAN UNION
Topic 1,person legal,legal person,personne morale,2,3,descriptor,http://eurovoc.europa.eu/2337,legal status,MT 1211 civil law,12 LAW
Topic 1,court case,court case,action en justice,2,1,used_for,http://eurovoc.europa.eu/5371,court case,MT 1221 justice,12 LAW
Topic 1,court social,social court,juridiction sociale,2,3,descriptor,http://eurovoc.europa.eu/1547,ordinary court of law,MT 1226 organisation of the legal system,12 LAW
Topic 1,case law,case law,jurisprudence,2,2,used_for,http://eurovoc.europa.eu/1550,source of law,MT 1206 sources and branches of the law,12 LAW
Topic 1,case law,case law (EU),jurisprudence (UE),3,2,descriptor,http://eurovoc.europa.eu/1551,EU law,MT 1011 European Union law,10 EUROPEAN UNION
Topic 1,office employment,employment office,service d'emploi,2,2,used_for,http://eurovoc.europa.eu/4113,labour market,MT 4411 labour market,44 EMPLOYMENT AND WORKING CONDITIONS
Topic 1,information service,information service,système documentaire,2,1,descriptor,http://eurovoc.europa.eu/4366,information service,MT 3221 documentation,32 EDUCATION AND COMMUNICATIONS
Topic 1,account national,national account,comptabilité nationale,2,1,used_for,http://eurovoc.europa.eu/56,national account,MT 1626 national accounts,16 ECONOMICS
Topic 1,credit institution,credit institution,établissement de crédit,2,2,descriptor,http://eurovoc.europa.eu/3246,financial institution,MT 2416 financial institutions and credit,24 FINANCE
Topic 1,credit insurance,credit insurance,assurance-crédit,2,2,descriptor,http://eurovoc.europa.eu/3373,insurance,MT 2431 insurance,24 FINANCE
Topic 1,credit tax,tax credit,déduction fiscale,2,2,used_for,http://eurovoc.europa.eu/365,fiscal policy,MT 2446 taxation,24 FINANCE
Topic 1,national security,national security,sécurité publique,2,1,used_for,http://eurovoc.europa.eu/4045,national security,MT 0431 politics and public safety,04 POLITICS
Topic 1,national insurance,national insurance,sécurité sociale,2,1,used_for,http://eurovoc.europa.eu/4050,national insurance,MT 2836 social protection,28 SOCIAL QUESTIONS
Topic 1,national law,national law,droit national,2,3,descriptor,http://eurovoc.europa.eu/571,legislation,MT 1206 sources and branches of the law,12 LAW
Topic 1,national tax,national tax,impôt national,2,2,descriptor,http://eurovoc.europa.eu/1319,tax,MT 2446 taxation,24 FINANCE
Topic 1,national legislation,national legislation,droit national,2,3,used_for,http://eurovoc.europa.eu/571,legislation,MT 1206 sources and branches of the law,12 LAW
Topic 1,national service,national service,service national,2,2,descriptor,http://eurovoc.europa.eu/4127,armed forces,MT 0821 defence,08 INTERNATIONAL RELATIONS
Topic 1,social security,social security,sécurité sociale,2,1,descriptor,http://eurovoc.europa.eu/4050,social security,MT 2836 social protection,28 SOCIAL QUESTIONS
Topic 1,social rights,social rights,droits sociaux,2,1,descriptor,http://eurovoc.europa.eu/3899,social rights,MT 1236 rights and freedoms,12 LAW
Topic 1,social legislation,social legislation,droit social,2,2,descriptor,http://eurovoc.europa.eu/580,social policy,MT 2826 social affairs,28 SOCIAL QUESTIONS
Topic 1,capital tax,tax on capital,impôt sur le capital,3,1,descriptor,http://eurovoc.europa.eu/1325,tax on capital,MT 2446 taxation,24 FINANCE
Topic 1,management company,management company,holding,2,2,used_for,http://eurovoc.europa.eu/1247,organisation,MT 4016 legal form of organisations,40 BUSINESS AND COMPETITION
Topic 1,management company,company management,conseil de direction,2,2,used_for,http://eurovoc.europa.eu/447,company structure,MT 4006 business organisation,40 BUSINESS AND COMPETITION
Topic 1,management state,State management,collectivisme,2,2,used_for,http://eurovoc.europa.eu/6032,economic system,MT 1621 economic structure,16 ECONOMICS
Topic 1,security state,security of the State,atteinte à la sûreté de l'État,4,2,used_for,http://eurovoc.europa.eu/3993,offence,MT 1216 criminal law,12 LAW
Topic 1,security legal,legal security,principe de sécurité juridique,2,3,used_for,http://eurovoc.europa.eu/8468,EU competence,MT 1011 European Union law,10 EUROPEAN UNION
Topic 1,security service,security service,personnel de service,2,3,used_for,http://eurovoc.europa.eu/3610,service industry,MT 6846 miscellaneous industries,68 INDUSTRY
