doc_num,Nom du fichier,year,Taille (Ko),Dossier et nom
14311,1973_0005_COM_1973_0054_XM_PACKAGE.txt,1973,5.74609375,H:\Corpus_commission\txt_files\1973_0005_COM_1973_0054_XM_PACKAGE.txt
14312,1973_0005_COM_1973_0055_XM_PACKAGE.txt,1973,31.197265625,H:\Corpus_commission\txt_files\1973_0005_COM_1973_0055_XM_PACKAGE.txt
14313,1973_0005_COM_1973_0056_XM_PACKAGE.txt,1973,239.5361328125,H:\Corpus_commission\txt_files\1973_0005_COM_1973_0056_XM_PACKAGE.txt
14314,1973_0006_COM_1973_0057_XM_PACKAGE.txt,1973,108.025390625,H:\Corpus_commission\txt_files\1973_0006_COM_1973_0057_XM_PACKAGE.txt
14315,1973_0006_COM_1973_0058_XM_PACKAGE.txt,1973,50.423828125,H:\Corpus_commission\txt_files\1973_0006_COM_1973_0058_XM_PACKAGE.txt
14316,1973_0006_COM_1973_0059_XM_PACKAGE.txt,1973,101.70703125,H:\Corpus_commission\txt_files\1973_0006_COM_1973_0059_XM_PACKAGE.txt
14317,1973_0006_COM_1973_0060_XM_PACKAGE.txt,1973,48.5166015625,H:\Corpus_commission\txt_files\1973_0006_COM_1973_0060_XM_PACKAGE.txt
14318,1973_0006_COM_1973_0061_XM_PACKAGE.txt,1973,61.75390625,H:\Corpus_commission\txt_files\1973_0006_COM_1973_0061_XM_PACKAGE.txt
14319,1973_0006_COM_1973_0062_XM_PACKAGE.txt,1973,50.1826171875,H:\Corpus_commission\txt_files\1973_0006_COM_1973_0062_XM_PACKAGE.txt
14320,1973_0006_COM_1973_0063_XM_PACKAGE.txt,1973,32.37890625,H:\Corpus_commission\txt_files\1973_0006_COM_1973_0063_XM_PACKAGE.txt
14321,1973_0006_COM_1973_0064_XM_PACKAGE.txt,1973,259.896484375,H:\Corpus_commission\txt_files\1973_0006_COM_1973_0064_XM_PACKAGE.txt
14322,1973_0007_COM_1973_0065_XM_PACKAGE.txt,1973,96.927734375,H:\Corpus_commission\txt_files\1973_0007_COM_1973_0065_XM_PACKAGE.txt
14323,1973_0007_COM_1973_0066_XM_PACKAGE.txt,1973,111.794921875,H:\Corpus_commission\txt_files\1973_0007_COM_1973_0066_XM_PACKAGE.txt
14324,1973_0007_COM_1973_0067_XM_PACKAGE.txt,1973,44.4736328125,H:\Corpus_commission\txt_files\1973_0007_COM_1973_0067_XM_PACKAGE.txt
14325,1973_0007_COM_1973_0068_XM_PACKAGE.txt,1973,107.44921875,H:\Corpus_commission\txt_files\1973_0007_COM_1973_0068_XM_PACKAGE.txt
14326,1973_0007_COM_1973_0069_XM_PACKAGE.txt,1973,72.4794921875,H:\Corpus_commission\txt_files\1973_0007_COM_1973_0069_XM_PACKAGE.txt
14327,1973_0008_COM_1973_0070_XM_PACKAGE.txt,1973,67.0634765625,H:\Corpus_commission\txt_files\1973_0008_COM_1973_0070_XM_PACKAGE.txt
14328,1973_0008_COM_1973_0071_XM_PACKAGE.txt,1973,51.5703125,H:\Corpus_commission\txt_files\1973_0008_COM_1973_0071_XM_PACKAGE.txt
14329,1973_0008_COM_1973_0072_XM_PACKAGE.txt,1973,71.8740234375,H:\Corpus_commission\txt_files\1973_0008_COM_1973_0072_XM_PACKAGE.txt
14330,1973_0008_COM_1973_0073_XM_PACKAGE.txt,1973,108.4638671875,H:\Corpus_commission\txt_files\1973_0008_COM_1973_0073_XM_PACKAGE.txt
14331,1973_0008_COM_1973_0074_XM_PACKAGE.txt,1973,61.05078125,H:\Corpus_commission\txt_files\1973_0008_COM_1973_0074_XM_PACKAGE.txt
14332,1973_0009_COM_1973_0075_XM_PACKAGE.txt,1973,58.8857421875,H:\Corpus_commission\txt_files\1973_0009_COM_1973_0075_XM_PACKAGE.txt
14333,1973_0009_COM_1973_0076_XM_PACKAGE.txt,1973,39.8125,H:\Corpus_commission\txt_files\1973_0009_COM_1973_0076_XM_PACKAGE.txt
14334,1973_0009_COM_1973_0077_XM_PACKAGE.txt,1973,148.3896484375,H:\Corpus_commission\txt_files\1973_0009_COM_1973_0077_XM_PACKAGE.txt
14335,1973_0009_COM_1973_0078_XM_PACKAGE.txt,1973,42.8037109375,H:\Corpus_commission\txt_files\1973_0009_COM_1973_0078_XM_PACKAGE.txt
14336,1973_0010_COM_1973_0079_XM_PACKAGE.txt,1973,371.9794921875,H:\Corpus_commission\txt_files\1973_0010_COM_1973_0079_XM_PACKAGE.txt
14337,1973_0010_COM_1973_0080_XM_PACKAGE.txt,1973,45.6513671875,H:\Corpus_commission\txt_files\1973_0010_COM_1973_0080_XM_PACKAGE.txt
14338,1973_0010_COM_1973_0081_XM_PACKAGE.txt,1973,38.849609375,H:\Corpus_commission\txt_files\1973_0010_COM_1973_0081_XM_PACKAGE.txt
14339,1973_0010_COM_1973_0082_XM_PACKAGE.txt,1973,27.25,H:\Corpus_commission\txt_files\1973_0010_COM_1973_0082_XM_PACKAGE.txt
14340,1973_0010_COM_1973_0083_XM_PACKAGE.txt,1973,32.607421875,H:\Corpus_commission\txt_files\1973_0010_COM_1973_0083_XM_PACKAGE.txt
14341,1973_0011_COM_1973_0084_XM_PACKAGE.txt,1973,33.474609375,H:\Corpus_commission\txt_files\1973_0011_COM_1973_0084_XM_PACKAGE.txt
14342,1973_0011_COM_1973_0085_XM_PACKAGE.txt,1973,33.0068359375,H:\Corpus_commission\txt_files\1973_0011_COM_1973_0085_XM_PACKAGE.txt
14343,1973_0011_COM_1973_0086_XM_PACKAGE.txt,1973,37.751953125,H:\Corpus_commission\txt_files\1973_0011_COM_1973_0086_XM_PACKAGE.txt
14344,1973_0011_COM_1973_0087_XM_PACKAGE.txt,1973,47.810546875,H:\Corpus_commission\txt_files\1973_0011_COM_1973_0087_XM_PACKAGE.txt
14345,1973_0011_COM_1973_0088_XM_PACKAGE.txt,1973,34.873046875,H:\Corpus_commission\txt_files\1973_0011_COM_1973_0088_XM_PACKAGE.txt
14346,1973_0011_COM_1973_0089_XM_PACKAGE.txt,1973,14.3544921875,H:\Corpus_commission\txt_files\1973_0011_COM_1973_0089_XM_PACKAGE.txt
