topic_id,tokens,term,dist,french,length,profondeur,category,link,bt1,mt,domain
Topic 233,national,national,0,ressortissant,1,2,descriptor,http://eurovoc.europa.eu/3521,private international law,MT 1231 international law,12 LAW
Topic 90,national,national,0,ressortissant,1,2,descriptor,http://eurovoc.europa.eu/3521,private international law,MT 1231 international law,12 LAW
Topic 14,national,national,0,ressortissant,1,2,descriptor,http://eurovoc.europa.eu/3521,private international law,MT 1231 international law,12 LAW
Topic 7,netherlands,Netherlands,0,Pays-Bas,1,2,descriptor,http://eurovoc.europa.eu/2286,Western Europe || Benelux countries || EU Member State || OECD countries || Council of Europe countries || NATO countries || WEU countries,MT 7206 Europe || MT 7231 economic geography || MT 7236 political geography,72 GEOGRAPHY
Topic 206,ngo,NGO,0,organisation non gouvernementale,1,1,used_for,http://eurovoc.europa.eu/2191,NGO,MT 7626 non-governmental organisations,76 INTERNATIONAL ORGANISATIONS
Topic 129,noise,noise,0,bruit,1,2,descriptor,http://eurovoc.europa.eu/5048,nuisance,MT 5216 deterioration of the environment,52 ENVIRONMENT
Topic 106,norway,Norway,0,Norvège,1,2,descriptor,http://eurovoc.europa.eu/2084,Northern Europe || EFTA countries || OECD countries || Council of Europe countries || NATO countries || Nordic Council countries,MT 7206 Europe || MT 7231 economic geography || MT 7236 political geography,72 GEOGRAPHY
Topic 61,norway,Norway,0,Norvège,1,2,descriptor,http://eurovoc.europa.eu/2084,Northern Europe || EFTA countries || OECD countries || Council of Europe countries || NATO countries || Nordic Council countries,MT 7206 Europe || MT 7231 economic geography || MT 7236 political geography,72 GEOGRAPHY
Topic 131,olive,olive,0,olive,1,2,descriptor,http://eurovoc.europa.eu/2136,oleaginous plant,MT 6006 plant product,60 AGRI-FOODSTUFFS
Topic 98,opinion,opinion,0,avis,1,2,descriptor,http://eurovoc.europa.eu/4449,legislative procedure,MT 0426 parliamentary proceedings,04 POLITICS
Topic 98,opinion,opinion (EU),0,avis (UE),2,2,descriptor,http://eurovoc.europa.eu/6284,EU act,MT 1011 European Union law,10 EUROPEAN UNION
Topic 221,organisation,organisation,0,société,1,1,descriptor,http://eurovoc.europa.eu/4189,organisation,MT 4016 legal form of organisations,40 BUSINESS AND COMPETITION
Topic 213,organization,organization,0,société,1,1,used_for,http://eurovoc.europa.eu/4189,organization,MT 4016 legal form of organisations,40 BUSINESS AND COMPETITION
Topic 246,pakistan,Pakistan,0,Pakistan,1,2,descriptor,http://eurovoc.europa.eu/2222,South Asia || SAARC countries,MT 7226 Asia and Oceania || MT 7231 economic geography,72 GEOGRAPHY
Topic 91,paper,paper,0,papier,1,3,descriptor,http://eurovoc.europa.eu/2228,pulp and paper industry,MT 6836 wood industry,68 INDUSTRY
Topic 5,parliament,parliament,0,parlement,1,1,descriptor,http://eurovoc.europa.eu/2242,parliament,MT 0421 parliament,04 POLITICS
Topic 232,partner,partner,0,associé,1,2,used_for,http://eurovoc.europa.eu/3121,company structure,MT 4006 business organisation,40 BUSINESS AND COMPETITION
Topic 200,passport,passport,0,passeport,1,3,descriptor,http://eurovoc.europa.eu/2271,identity document,MT 1231 international law,12 LAW
Topic 168,payment,payment,0,paiement,1,2,descriptor,http://eurovoc.europa.eu/2216,management accounting,MT 4026 accounting,40 BUSINESS AND COMPETITION
Topic 179,payment,payment,0,paiement,1,2,descriptor,http://eurovoc.europa.eu/2216,management accounting,MT 4026 accounting,40 BUSINESS AND COMPETITION
Topic 121,petrol,petrol,0,essence,1,4,descriptor,http://eurovoc.europa.eu/3771,motor fuel,MT 6616 oil industry,66 ENERGY
Topic 177,petroleum,petroleum,0,pétrole,1,2,descriptor,http://eurovoc.europa.eu/2366,hydrocarbon,MT 6616 oil industry,66 ENERGY
Topic 85,pig,pig,0,porcin,1,2,used_for,http://eurovoc.europa.eu/2560,livestock,MT 5626 means of agricultural production,"56 AGRICULTURE, FORESTRY AND FISHERIES"
Topic 85,pigmeat,pigmeat,0,viande porcine,1,3,descriptor,http://eurovoc.europa.eu/4692,meat,MT 6011 animal product,60 AGRI-FOODSTUFFS
Topic 35,plan,plan,0,plan,1,2,descriptor,http://eurovoc.europa.eu/7379,document,MT 3221 documentation,32 EDUCATION AND COMMUNICATIONS
Topic 198,plan,plan,0,plan,1,2,descriptor,http://eurovoc.europa.eu/7379,document,MT 3221 documentation,32 EDUCATION AND COMMUNICATIONS
Topic 40,pollution,pollution,0,pollution,1,1,descriptor,http://eurovoc.europa.eu/2524,pollution,MT 5216 deterioration of the environment,52 ENVIRONMENT
Topic 88,pollution,pollution,0,pollution,1,1,descriptor,http://eurovoc.europa.eu/2524,pollution,MT 5216 deterioration of the environment,52 ENVIRONMENT
Topic 159,pollution,pollution,0,pollution,1,1,descriptor,http://eurovoc.europa.eu/2524,pollution,MT 5216 deterioration of the environment,52 ENVIRONMENT
Topic 46,pollution,pollution,0,pollution,1,1,descriptor,http://eurovoc.europa.eu/2524,pollution,MT 5216 deterioration of the environment,52 ENVIRONMENT
Topic 158,poor,poor,0,pauvreté,1,3,used_for,http://eurovoc.europa.eu/2281,distribution of income,MT 1626 national accounts,16 ECONOMICS
Topic 193,port,port,0,installation portuaire,1,2,used_for,http://eurovoc.europa.eu/1447,ports policy,MT 4821 maritime and inland waterway transport,48 TRANSPORT
Topic 201,port,port,0,installation portuaire,1,2,used_for,http://eurovoc.europa.eu/1447,ports policy,MT 4821 maritime and inland waterway transport,48 TRANSPORT
Topic 106,portugal,Portugal,0,Portugal,1,2,descriptor,http://eurovoc.europa.eu/2563,Southern Europe || EU Member State || OECD countries || Council of Europe countries || NATO countries || WEU countries,MT 7206 Europe || MT 7231 economic geography || MT 7236 political geography,72 GEOGRAPHY
Topic 207,portugal,Portugal,0,Portugal,1,2,descriptor,http://eurovoc.europa.eu/2563,Southern Europe || EU Member State || OECD countries || Council of Europe countries || NATO countries || WEU countries,MT 7206 Europe || MT 7231 economic geography || MT 7236 political geography,72 GEOGRAPHY
Topic 85,poultry,poultry,0,volaille,1,2,descriptor,http://eurovoc.europa.eu/4743,animal production,MT 5631 agricultural activity,"56 AGRICULTURE, FORESTRY AND FISHERIES"
Topic 74,poultry,poultry,0,volaille,1,2,descriptor,http://eurovoc.europa.eu/4743,animal production,MT 5631 agricultural activity,"56 AGRICULTURE, FORESTRY AND FISHERIES"
Topic 217,poultry,poultry,0,volaille,1,2,descriptor,http://eurovoc.europa.eu/4743,animal production,MT 5631 agricultural activity,"56 AGRICULTURE, FORESTRY AND FISHERIES"
Topic 158,poverty,poverty,0,pauvreté,1,3,descriptor,http://eurovoc.europa.eu/2281,distribution of income,MT 1626 national accounts,16 ECONOMICS
Topic 166,prices,prices,0,prix,1,1,descriptor,http://eurovoc.europa.eu/2632,prices,MT 2451 prices,24 FINANCE
Topic 78,prices,prices,0,prix,1,1,descriptor,http://eurovoc.europa.eu/2632,prices,MT 2451 prices,24 FINANCE
Topic 149,prices,prices,0,prix,1,1,descriptor,http://eurovoc.europa.eu/2632,prices,MT 2451 prices,24 FINANCE
Topic 62,prices,prices,0,prix,1,1,descriptor,http://eurovoc.europa.eu/2632,prices,MT 2451 prices,24 FINANCE
Topic 177,prices,prices,0,prix,1,1,descriptor,http://eurovoc.europa.eu/2632,prices,MT 2451 prices,24 FINANCE
Topic 131,production,production,0,production,1,1,descriptor,http://eurovoc.europa.eu/2707,production,MT 6406 production,"64 PRODUCTION, TECHNOLOGY AND RESEARCH"
Topic 213,production,production,0,production,1,1,descriptor,http://eurovoc.europa.eu/2707,production,MT 6406 production,"64 PRODUCTION, TECHNOLOGY AND RESEARCH"
Topic 78,production,production,0,production,1,1,descriptor,http://eurovoc.europa.eu/2707,production,MT 6406 production,"64 PRODUCTION, TECHNOLOGY AND RESEARCH"
Topic 248,production,production,0,production,1,1,descriptor,http://eurovoc.europa.eu/2707,production,MT 6406 production,"64 PRODUCTION, TECHNOLOGY AND RESEARCH"
Topic 66,production,production,0,production,1,1,descriptor,http://eurovoc.europa.eu/2707,production,MT 6406 production,"64 PRODUCTION, TECHNOLOGY AND RESEARCH"
Topic 169,production,production,0,production,1,1,descriptor,http://eurovoc.europa.eu/2707,production,MT 6406 production,"64 PRODUCTION, TECHNOLOGY AND RESEARCH"
Topic 62,production,production,0,production,1,1,descriptor,http://eurovoc.europa.eu/2707,production,MT 6406 production,"64 PRODUCTION, TECHNOLOGY AND RESEARCH"
Topic 33,production,production,0,production,1,1,descriptor,http://eurovoc.europa.eu/2707,production,MT 6406 production,"64 PRODUCTION, TECHNOLOGY AND RESEARCH"
Topic 56,production,production,0,production,1,1,descriptor,http://eurovoc.europa.eu/2707,production,MT 6406 production,"64 PRODUCTION, TECHNOLOGY AND RESEARCH"
Topic 79,production,production,0,production,1,1,descriptor,http://eurovoc.europa.eu/2707,production,MT 6406 production,"64 PRODUCTION, TECHNOLOGY AND RESEARCH"
Topic 199,production,production,0,production,1,1,descriptor,http://eurovoc.europa.eu/2707,production,MT 6406 production,"64 PRODUCTION, TECHNOLOGY AND RESEARCH"
Topic 116,production,production,0,production,1,1,descriptor,http://eurovoc.europa.eu/2707,production,MT 6406 production,"64 PRODUCTION, TECHNOLOGY AND RESEARCH"
Topic 148,production,production,0,production,1,1,descriptor,http://eurovoc.europa.eu/2707,production,MT 6406 production,"64 PRODUCTION, TECHNOLOGY AND RESEARCH"
Topic 93,profit,profit,0,bénéfice,1,3,descriptor,http://eurovoc.europa.eu/4842,operating result,MT 4026 accounting,40 BUSINESS AND COMPETITION
Topic 109,proof,proof,0,preuve,1,2,descriptor,http://eurovoc.europa.eu/5809,judicial proceedings,MT 1221 justice,12 LAW
Topic 52,proposal,proposal (EU),0,proposition (UE),2,3,descriptor,http://eurovoc.europa.eu/2809,drafting of EU law,MT 1011 European Union law,10 EUROPEAN UNION
Topic 5,proposal,proposal (EU),0,proposition (UE),2,3,descriptor,http://eurovoc.europa.eu/2809,drafting of EU law,MT 1011 European Union law,10 EUROPEAN UNION
Topic 220,proposal,proposal (EU),0,proposition (UE),2,3,descriptor,http://eurovoc.europa.eu/2809,drafting of EU law,MT 1011 European Union law,10 EUROPEAN UNION
Topic 136,proposal,proposal (EU),0,proposition (UE),2,3,descriptor,http://eurovoc.europa.eu/2809,drafting of EU law,MT 1011 European Union law,10 EUROPEAN UNION
Topic 135,proposal,proposal (EU),0,proposition (UE),2,3,descriptor,http://eurovoc.europa.eu/2809,drafting of EU law,MT 1011 European Union law,10 EUROPEAN UNION
Topic 102,protocol,protocol,0,protocole,1,2,descriptor,http://eurovoc.europa.eu/6884,political institution,MT 0406 political framework,04 POLITICS
Topic 18,protocol,protocol,0,protocole,1,2,descriptor,http://eurovoc.europa.eu/6884,political institution,MT 0406 political framework,04 POLITICS
Topic 111,protocol,protocol,0,protocole,1,2,descriptor,http://eurovoc.europa.eu/6884,political institution,MT 0406 political framework,04 POLITICS
Topic 225,protocol,protocol,0,protocole,1,2,descriptor,http://eurovoc.europa.eu/6884,political institution,MT 0406 political framework,04 POLITICS
Topic 203,protocol,protocol,0,protocole,1,2,descriptor,http://eurovoc.europa.eu/6884,political institution,MT 0406 political framework,04 POLITICS
Topic 102,protocol,Protocol (EU),0,protocole (UE),2,2,descriptor,http://eurovoc.europa.eu/4031,European treaties,MT 1011 European Union law,10 EUROPEAN UNION
Topic 18,protocol,Protocol (EU),0,protocole (UE),2,2,descriptor,http://eurovoc.europa.eu/4031,European treaties,MT 1011 European Union law,10 EUROPEAN UNION
Topic 111,protocol,Protocol (EU),0,protocole (UE),2,2,descriptor,http://eurovoc.europa.eu/4031,European treaties,MT 1011 European Union law,10 EUROPEAN UNION
Topic 225,protocol,Protocol (EU),0,protocole (UE),2,2,descriptor,http://eurovoc.europa.eu/4031,European treaties,MT 1011 European Union law,10 EUROPEAN UNION
Topic 203,protocol,Protocol (EU),0,protocole (UE),2,2,descriptor,http://eurovoc.europa.eu/4031,European treaties,MT 1011 European Union law,10 EUROPEAN UNION
Topic 243,provision,provision,0,réserve comptable,1,2,descriptor,http://eurovoc.europa.eu/3446,accounting,MT 4026 accounting,40 BUSINESS AND COMPETITION
Topic 73,quota,quota,0,restriction quantitative,1,3,used_for,http://eurovoc.europa.eu/3591,non-tariff barrier,MT 2021 international trade,20 TRADE
Topic 126,quota,quota,0,restriction quantitative,1,3,used_for,http://eurovoc.europa.eu/3591,non-tariff barrier,MT 2021 international trade,20 TRADE
Topic 66,quota,quota,0,restriction quantitative,1,3,used_for,http://eurovoc.europa.eu/3591,non-tariff barrier,MT 2021 international trade,20 TRADE
Topic 86,railway,railway,0,transport ferroviaire,1,2,used_for,http://eurovoc.europa.eu/4514,land transport,MT 4816 land transport,48 TRANSPORT
Topic 212,rape,rape,0,violence sexuelle,1,4,used_for,http://eurovoc.europa.eu/4727,sexual offence,MT 1216 criminal law,12 LAW
Topic 149,rates,rates,0,impôt foncier,1,2,used_for,http://eurovoc.europa.eu/1314,tax on income,MT 2446 taxation,24 FINANCE
Topic 229,rates,rates,0,impôt foncier,1,2,used_for,http://eurovoc.europa.eu/1314,tax on income,MT 2446 taxation,24 FINANCE
Topic 105,rates,rates,0,impôt foncier,1,2,used_for,http://eurovoc.europa.eu/1314,tax on income,MT 2446 taxation,24 FINANCE
Topic 59,rates,rates,0,impôt foncier,1,2,used_for,http://eurovoc.europa.eu/1314,tax on income,MT 2446 taxation,24 FINANCE
Topic 138,region,region,0,région,1,2,descriptor,http://eurovoc.europa.eu/3031,regional and local authorities,MT 0436 executive power and public service,04 POLITICS
Topic 16,region,region,0,région,1,2,descriptor,http://eurovoc.europa.eu/3031,regional and local authorities,MT 0436 executive power and public service,04 POLITICS
